signal,radon_level,eff,bkgCounts,tHalf,roi
bb0nu_foil_bulk,0.03821,0.1389417,15.576604368214888,1.525594451670555e24,"(phi = (55, 175), sumE = (2700, 3000), dy = (0, 30), dz = (0, 40), lPint = (0, 2), lPext = (1, 50))"
bb0nu_foil_bulk,0.00108,0.1862954,2.8768423045107765,3.7947671019980107e24,"(phi = (0, 180), sumE = (2700, 3000), dy = (0, 70), dz = (0, 70), lPint = (0, 3), lPext = (1, 50))"
bb0nu_foil_bulk,0.00015,0.18,1.24,4.59,"(phi = (15, 180), sumE = (2700, 3000), dy = (0, 135), dz = (0, 140), lPint = (0, 4.5), lPext = (2.5, 50))"
bb0nuM1_foil_bulk,0.03821,0.06112788888888889,1151.3170800893888,9.752327451270549e22,"(phi = (45, 180), sumE = (2200, 2900), dy = (0, 40), dz = (0, 60), lPint = (0, 2.8), lPext = (1.0, 50))"
bb0nuM1_foil_bulk,0.00108,0.02098488888888889,40.33695594075452,1.52652763986024e23,"(phi = (45, 180), sumE = (2500, 2900), dy = (0, 100), dz = (0, 100), lPint = (0, 5), lPext = (1, 50))"
bb0nuM1_foil_bulk,0.00015,0.022230333333333335,35.67,1.70e23,"(phi = (20, 180), sumE = (2500, 3000), dy = (0, 120), dz = (0, 120), lPint = (0, 4), lPext = (2, 50))"
bb0nuM2_foil_bulk,0.00015,0.1042275,45576.60306070259,2.642881530795455e22,"(phi = (15, 175), sumE = (1400, 3000), dy = (0, 100), dz = (0, 130), lPint = (0, 4), lPext = (1, 50))"
bb0nuM2_foil_bulk,0.03821,0.1364404,82429.90045956998,2.5725685013916294e22,"(phi = (0, 180), sumE = (1200, 2700), dy = (0, 120), dz = (0, 150), lPint = (0, 4), lPext = (1, 50))"
bb0nuM2_foil_bulk,0.00108,0.10251,44851.18465192104,2.6202674736424634e22,"(phi = (30, 180), sumE = (1400, 3000), dy = (0, 120), dz = (0, 150), lPint = (0, 4), lPext = (1, 50))"
RH040_foil_bulk,0.00108,0.1241155,207536.70567883758,1.4748400188269621e22,"(phi = (0, 180), sumE = (400, 2800), dy = (0, 120), dz = (0, 120), lPint = (0, 4), lPext = (1, 50))"
RH040_foil_bulk,0.03821,0.1263591,221922.59506295423,1.4520183820728817e22,"(phi = (0, 180), sumE = (300, 2800), dy = (0, 130), dz = (0, 150), lPint = (0, 4), lPext = (1, 50))"
RH040_foil_bulk,0.00015,0.12469,221922.59506295423,1.4520183820728817e22,"(phi = (0, 180), sumE = (300, 2800), dy = (0, 130), dz = (0, 150), lPint = (0, 4), lPext = (1, 50))"
