thalf,roi,eff,b,x0
1.207573434619726e22 ± 0.0,"(phi = (29.0, 159.0), sumE = (278.0, 3483.0), maxE = (109.0, 2329.0), r = (2.0, 99.0))",0.07098223 ± 0.0,101300.0 ± 1400.0,"[141.8181818181818, 127.27272727272727, 2545.4545454545455, 1237.3737373737374, 1909.090909090909, 388.8888888888889, 58.58585858585859, 59.5959595959596]"
1.0711240143502358e22 ± 0.0,"(phi = (12.0, 168.0), sumE = (114.0, 2982.0), maxE = (653.0, 2592.0), r = (4.0, 58.0))",0.04865361 ± 0.0,60460.0 ± 960.0,"[32.72727272727273, 112.72727272727273, 1661.6161616161617, 2085.8585858585857, 3005.050505050505, 141.41414141414143, 8.080808080808081, 83.83838383838383]"
1.1854477671793785e22 ± 0.0,"(phi = (21.0, 157.0), sumE = (334.0, 2537.0), maxE = (67.0, 3232.0), r = (6.0, 49.0))",0.0674277 ± 0.0,94800.0 ± 1300.0,"[74.54545454545455, 67.27272727272727, 1873.7373737373737, 1272.7272727272727, 1873.7373737373737, 106.06060606060606, 89.8989898989899, 55.55555555555556]"
1.2485486028264858e22 ± 0.0,"(phi = (14.0, 163.0), sumE = (590.0, 2325.0), maxE = (127.0, 2964.0), r = (1.0, 75.0))",0.07183808 ± 0.0,97000.0 ± 1400.0,"[9.090909090909092, 43.63636363636363, 1308.080808080808, 1732.3232323232323, 141.41414141414143, 883.8383838383838, 69.6969696969697, 45.45454545454545]"
1.1393757137690486e22 ± 0.0,"(phi = (12.0, 144.0), sumE = (354.0, 2892.0), maxE = (28.0, 2194.0), r = (1.0, 41.0))",0.06014275 ± 0.0,81700.0 ± 1100.0,"[132.72727272727272, 83.63636363636364, 3075.757575757576, 3429.2929292929293, 1378.7878787878788, 565.6565656565657, 97.97979797979798, 70.70707070707071]"
1.2184921583358566e22 ± 0.0,"(phi = (0.0, 151.0), sumE = (536.0, 3219.0), maxE = (6.0, 1801.0), r = (1.0, 93.0))",0.06799586 ± 0.0,91300.0 ± 1300.0,"[167.27272727272728, 161.8181818181818, 707.070707070707, 2368.686868686869, 35.35353535353536, 212.12121212121212, 79.79797979797979, 94.94949494949495]"
1.1717095722842394e22 ± 0.0,"(phi = (11.0, 180.0), sumE = (142.0, 3473.0), maxE = (136.0, 2283.0), r = (10.0, 92.0))",0.06714706 ± 0.0,96200.0 ± 1300.0,"[110.9090909090909, 127.27272727272727, 1237.3737373737374, 2085.8585858585857, 671.7171717171717, 1555.5555555555557, 64.64646464646465, 37.37373737373738]"
1.0440700337240947e22 ± 0.0,"(phi = (11.0, 149.0), sumE = (800.0, 2789.0), maxE = (34.0, 3147.0), r = (10.0, 68.0))",0.04665594 ± 0.0,58520.0 ± 880.0,"[87.27272727272727, 149.0909090909091, 742.4242424242424, 1449.4949494949494, 1237.3737373737374, 671.7171717171717, 73.73737373737374, 76.76767676767676]"
1.18388903525123e22 ± 0.0,"(phi = (5.0, 154.0), sumE = (596.0, 3262.0), maxE = (470.0, 3461.0), r = (0.0, 75.0))",0.062409 ± 0.0,81400.0 ± 1200.0,"[3.6363636363636362, 47.27272727272727, 2191.919191919192, 565.6565656565657, 2297.979797979798, 1025.2525252525252, 83.83838383838383, 65.65656565656566]"
1.0652269938546299e22 ± 0.0,"(phi = (54.0, 178.0), sumE = (51.0, 3395.0), maxE = (361.0, 2336.0), r = (3.0, 100.0))",0.05668409 ± 0.0,83000.0 ± 1200.0,"[94.54545454545455, 110.9090909090909, 601.010101010101, 2616.161616161616, 1237.3737373737374, 1979.79797979798, 8.080808080808081, 37.37373737373738]"
