thalf,roi,eff,b,x0
2.077816789737684e22,"(phi = (10.0, 153.0), sumE = (1529.0, 3116.0), maxE = (248.0, 3288.0), r = (1.0, 98.0))",0.04900921,16300.0 ± 280.0,"[34.54545454545455, 61.81818181818182, 742.4242424242424, 318.1818181818182, 2191.919191919192, 777.7777777777778, 4.040404040404041, 80.8080808080808]"
2.1231827436503476e22,"(phi = (14.0, 174.0), sumE = (406.0, 3258.0), maxE = (394.0, 1887.0), r = (2.0, 78.0))",0.12388734,99800.0 ± 1400.0,"[5.454545454545454, 118.18181818181819, 2262.626262626263, 2686.868686868687, 0.0, 2050.5050505050503, 91.91919191919192, 2.0202020202020203]"
2.051017066927317e22,"(phi = (34.0, 153.0), sumE = (1424.0, 3012.0), maxE = (625.0, 3445.0), r = (2.0, 83.0))",0.05494723,21030.0 ± 360.0,"[132.72727272727272, 63.63636363636363, 1343.4343434343434, 1484.8484848484848, 1767.6767676767677, 1767.6767676767677, 2.0202020202020203, 59.5959595959596]"
1.814549724347261e22,"(phi = (26.0, 178.0), sumE = (505.0, 2351.0), maxE = (11.0, 1467.0), r = (3.0, 39.0))",0.09956782,88200.0 ± 1300.0,"[160.0, 172.72727272727272, 1661.6161616161617, 2545.4545454545455, 2792.929292929293, 2651.5151515151515, 81.81818181818181, 77.77777777777777]"
2.161490149442779e22,"(phi = (5.0, 158.0), sumE = (1212.0, 2796.0), maxE = (827.0, 2586.0), r = (1.0, 97.0))",0.07091273,31540.0 ± 530.0,"[92.72727272727273, 38.18181818181818, 707.070707070707, 3464.6464646464647, 2510.10101010101, 1484.8484848484848, 89.8989898989899, 84.84848484848484]"
2.1843669538699144e22,"(phi = (3.0, 164.0), sumE = (301.0, 3490.0), maxE = (578.0, 2741.0), r = (1.0, 77.0))",0.10906094,73000.0 ± 1100.0,"[92.72727272727273, 16.363636363636363, 777.7777777777778, 636.3636363636364, 1414.141414141414, 3075.757575757576, 71.71717171717172, 22.22222222222222]"
2.178948767193964e22,"(phi = (23.0, 170.0), sumE = (1230.0, 3464.0), maxE = (846.0, 2038.0), r = (3.0, 66.0))",0.07063319,30790.0 ± 520.0,"[178.1818181818182, 112.72727272727273, 742.4242424242424, 813.1313131313132, 1308.080808080808, 1944.4444444444443, 98.98989898989899, 87.87878787878788]"
2.236719281824547e22,"(phi = (8.0, 169.0), sumE = (1329.0, 3211.0), maxE = (17.0, 2204.0), r = (3.0, 60.0))",0.07398733,32060.0 ± 540.0,"[134.54545454545453, 116.36363636363636, 424.24242424242425, 2474.747474747475, 3146.4646464646466, 353.5353535353535, 19.19191919191919, 26.262626262626263]"
1.943937765244817e22,"(phi = (53.0, 163.0), sumE = (714.0, 3182.0), maxE = (768.0, 3337.0), r = (6.0, 61.0))",0.06683512,34640.0 ± 570.0,"[114.54545454545455, 112.72727272727273, 2651.5151515151515, 2262.626262626263, 3040.40404040404, 1732.3232323232323, 4.040404040404041, 90.9090909090909]"
2.2309418992663083e22,"(phi = (21.0, 180.0), sumE = (952.0, 3393.0), maxE = (530.0, 3323.0), r = (4.0, 98.0))",0.10546813,65500.0 ± 1000.0,"[98.18181818181819, 60.0, 2015.1515151515152, 1520.20202020202, 2404.040404040404, 1449.4949494949494, 56.56565656565657, 94.94949494949495]"
