thalf,roi,eff,b,x0
1.2119480291931588e24,"(phi = (118.0, 178.0), sumE = (2553.0, 2983.0), maxE = (25.0, 2565.0), r = (8.0, 50.0))",0.0684314,4.527 ± 0.08,"[20.0, 60.0, 3393.939393939394, 1944.4444444444443, 1661.6161616161617, 2545.4545454545455, 54.54545454545455, 95.95959595959596]"
2.859199658997398e24,"(phi = (50.0, 178.0), sumE = (2732.0, 3259.0), maxE = (935.0, 3482.0), r = (10.0, 92.0))",0.08539766,0.2517 ± 0.0028,"[34.54545454545455, 129.0909090909091, 3111.1111111111113, 1979.79797979798, 2015.1515151515152, 2792.929292929293, 92.92929292929293, 44.44444444444444]"
1.5487931978442048e24,"(phi = (40.0, 175.0), sumE = (2498.0, 3248.0), maxE = (599.0, 3156.0), r = (8.0, 64.0))",0.15707856,19.94 ± 0.35,"[9.090909090909092, 41.81818181818182, 2439.3939393939395, 1414.141414141414, 2792.929292929293, 247.4747474747475, 28.282828282828284, 79.79797979797979]"
6.318587485236815e23,"(phi = (123.0, 166.0), sumE = (2405.0, 3130.0), maxE = (56.0, 3146.0), r = (1.0, 72.0))",0.08207972,35.35 ± 0.64,"[56.36363636363637, 120.0, 1520.20202020202, 2191.919191919192, 565.6565656565657, 565.6565656565657, 27.272727272727273, 85.85858585858585]"
2.9728006628679147e24,"(phi = (10.0, 167.0), sumE = (2619.0, 3267.0), maxE = (4.0, 3054.0), r = (6.0, 54.0))",0.15398033,3.454 ± 0.057,"[165.45454545454547, 49.09090909090909, 2580.808080808081, 1909.090909090909, 530.3030303030303, 1696.969696969697, 69.6969696969697, 86.86868686868686]"
9.563437449781567e23,"(phi = (46.0, 159.0), sumE = (2593.0, 2884.0), maxE = (1956.0, 3313.0), r = (3.0, 28.0))",0.03761524,1.314 ± 0.023,"[12.727272727272727, 60.0, 3287.878787878788, 3111.1111111111113, 1237.3737373737374, 2191.919191919192, 91.91919191919192, 31.31313131313131]"
7.095205367302805e23,"(phi = (128.0, 161.0), sumE = (2618.0, 3083.0), maxE = (476.0, 2838.0), r = (17.0, 91.0))",0.0235554,0.615 ± 0.01,"[50.90909090909091, 12.727272727272727, 2368.686868686869, 3075.757575757576, 3464.6464646464647, 388.8888888888889, 34.343434343434346, 63.63636363636363]"
9.958393935428494e23,"(phi = (106.0, 172.0), sumE = (2789.0, 3386.0), maxE = (1285.0, 3080.0), r = (15.0, 59.0))",0.02749387,0.023675652 ± 0.0,"[43.63636363636363, 83.63636363636364, 2050.5050505050503, 1661.6161616161617, 2651.5151515151515, 1202.020202020202, 69.6969696969697, 29.292929292929294]"
2.1226854749528872e24,"(phi = (5.0, 177.0), sumE = (2750.0, 3114.0), maxE = (1670.0, 2425.0), r = (8.0, 48.0))",0.06073971,0.1189 ± 0.0014,"[103.63636363636364, 23.636363636363637, 3393.939393939394, 848.4848484848485, 989.89898989899, 777.7777777777778, 57.57575757575758, 1.0101010101010102]"
2.0847887744864596e24,"(phi = (86.0, 172.0), sumE = (2735.0, 3429.0), maxE = (1206.0, 2626.0), r = (11.0, 65.0))",0.05986065,0.1325 ± 0.0014,"[136.36363636363637, 125.45454545454545, 2015.1515151515152, 494.949494949495, 176.76767676767676, 3111.1111111111113, 60.60606060606061, 83.83838383838383]"
1.8240593021465954e24,"(phi = (4.0, 149.0), sumE = (2545.0, 3064.0), maxE = (1565.0, 2486.0), r = (2.0, 57.0))",0.12319945,7.37 ± 0.13,"[25.454545454545453, 69.0909090909091, 1449.4949494949494, 2474.747474747475, 3429.2929292929293, 1767.6767676767677, 94.94949494949495, 53.535353535353536]"
5.229860329183026e23,"(phi = (53.0, 143.0), sumE = (2550.0, 3276.0), maxE = (277.0, 1848.0), r = (21.0, 70.0))",0.02129993,1.495 ± 0.026,"[3.6363636363636362, 72.72727272727273, 2686.868686868687, 1696.969696969697, 2722.222222222222, 954.5454545454545, 21.21212121212121, 30.303030303030305]"
6.238903247644551e23,"(phi = (79.0, 174.0), sumE = (2469.0, 3220.0), maxE = (1572.0, 1932.0), r = (9.0, 87.0))",0.04251137,7.56 ± 0.14,"[23.636363636363637, 21.818181818181817, 3252.5252525252527, 707.070707070707, 3075.757575757576, 919.1919191919192, 63.63636363636363, 66.66666666666667]"
1.8217799295393763e24,"(phi = (60.0, 161.0), sumE = (2567.0, 3466.0), maxE = (125.0, 2864.0), r = (10.0, 47.0))",0.10824096,5.308 ± 0.093,"[103.63636363636364, 152.72727272727272, 2121.212121212121, 2580.808080808081, 742.4242424242424, 636.3636363636364, 92.92929292929293, 80.8080808080808]"
5.3050382888725356e23,"(phi = (21.0, 166.0), sumE = (1613.0, 3464.0), maxE = (2143.0, 3191.0), r = (9.0, 85.0))",0.04169891,10.89 ± 0.19,"[29.09090909090909, 0.0, 2616.161616161616, 3500.0, 2050.5050505050503, 3181.818181818182, 31.31313131313131, 46.464646464646464]"
5.480999574070504e23,"(phi = (86.0, 124.0), sumE = (2518.0, 3397.0), maxE = (1062.0, 1802.0), r = (1.0, 60.0))",0.02643312,2.713 ± 0.048,"[90.9090909090909, 165.45454545454547, 2545.4545454545455, 35.35353535353536, 2333.3333333333335, 2368.686868686869, 11.11111111111111, 29.292929292929294]"
