mass_keV,sensitivity_yr
1100,5.057170547833137e20
1100,3.830665736393565e20
1100,2.2492022787694097e20
1100,4.1519874182707675e20
1100,4.344402998740981e20
1100,4.380574356336377e20
1100,4.246877000577352e20
1100,4.950307264570311e20
1100,5.747390612717164e20
1100,3.601129785696197e20
1100,1.3290124689667158e21
1100,6.307206334298159e20
1100,4.3886185518056427e20
1100,3.9324309061800244e20
1100,2.978753589871305e20
1100,7.756228002605983e20
1100,7.453369831512883e20
1100,7.975586941965402e20
1100,4.0145915115641314e20
1100,4.25749626135793e20
1100,4.385905656815492e20
1100,5.6017833141050547e20
1100,6.262268755307159e20
1100,5.0291067609412226e20
1100,3.895985116986723e20
1100,2.8809607324700073e21
1100,3.969933333896521e20
1100,6.687168508438616e20
1100,5.988741172771416e20
1100,6.888268861523321e20
1100,2.2470412237239252e20
1100,4.708831655909747e20
1100,6.776439159957552e20
1100,2.8466984685733937e20
1100,3.17141255810345e20
1100,3.8871853352152924e20
1100,5.4687266059466664e20
1100,3.024432258143705e20
1100,4.0611027375189275e20
1100,2.7352948926827685e20
1100,5.311298959498989e20
1100,7.040391098721464e20
1100,3.695702732746075e20
1100,5.542222508934485e20
1100,4.46943629364447e20
1100,3.9154994236655514e20
1100,3.31601039959779e20
1100,3.320843065135971e20
1100,7.874643972724492e20
1100,5.270614141425869e20
1100,6.9009917858154e20
1100,4.0869268083783677e20
1100,5.5836533870854786e20
1100,2.8984016900852387e20
1100,5.397526487688917e20
1100,5.931302249296318e20
1100,1.0023591812943525e21
1100,7.206597083692194e20
1100,7.204628135724568e21
1100,2.8774070832782996e20
1100,6.023212941059246e20
1100,3.457245332434423e20
1100,3.4619520198347175e20
1100,3.788082847697168e20
1100,3.40851653662712e20
1100,2.75921450026918e20
1100,8.374681268143919e20
1100,6.330179639145266e20
1100,4.697193221240957e20
1100,4.124325505107247e20
1100,5.53232103392359e20
1100,5.6047405881993586e20
1100,3.2005241154609106e20
1100,3.9499289810630423e20
1100,4.4082217469176146e20
1100,5.336190858028341e20
1100,2.966433738836468e20
1100,6.824797194337518e20
1100,4.469542701000962e20
1100,2.3311189543064548e20
1100,4.2469116707274044e20
1100,5.0595121597382964e20
1100,2.8944141627739495e20
1100,4.1119977438394515e20
1100,5.6333606991410954e20
1100,5.391488063237137e20
1100,3.448344087573114e20
1100,6.644267153901705e20
1100,2.294542445622101e20
1100,5.2197552810634386e20
1100,3.2508521442609254e20
1100,4.3668087312507155e20
1100,4.9629256570078226e20
1100,4.7897236477828576e20
1100,3.967814873694173e20
1100,4.14132786741695e20
1100,4.024527109504245e20
1100,6.214007229103462e20
1100,4.470047661056173e20
1100,5.043714180480303e20
1100,4.2707414954438145e20
1100,4.9404540258989926e20
1100,3.588895623502512e20
1100,1.0414327654738151e21
1100,5.795157830645255e20
1100,3.033464010597664e20
1100,6.619281386032034e20
1100,1.079939579030577e21
1100,2.5256905809094017e20
1100,2.8517748161392207e20
1100,4.702644785493773e20
1100,4.552277440087491e20
1100,2.834968711656322e20
1100,3.00448357302154e20
1100,4.09572989067342e20
1100,5.5196734973767595e20
1100,4.994738690947691e20
1100,2.3326972718196743e20
1100,1.4364961119045603e21
1100,2.9302997611971903e20
1100,5.5711364050502e20
1100,7.398891373098277e20
1100,4.914071229109686e20
1100,4.676416590822791e20
1100,2.117352100008332e20
1100,5.532342750145849e20
1100,5.917398419759828e20
1100,6.118368052345214e20
1100,5.429939522645059e20
1100,3.345244873085041e20
1100,2.2447719671825573e20
1100,2.9369971885625347e20
1100,5.0342153654787185e20
1100,7.888066264375346e20
1100,6.47777915731012e20
1100,2.4665168166402186e20
