mass_keV,sensitivity_yr
1400,5.6696793452043816e20
1400,3.9408732124762374e20
1400,8.988381999295635e20
1400,4.745047697358056e20
1400,5.2879799751591127e20
1400,2.7356900072595453e20
1400,6.250935444564846e20
1400,6.373502466087242e20
1400,6.219731193960134e20
1400,8.77445396928477e20
1400,5.916875170367005e20
1400,6.744646048566081e20
1400,4.56818864500601e20
1400,4.938533505565918e20
1400,5.984873405980643e20
1400,7.39057001839223e20
1400,7.505704587727421e20
1400,5.6222021835773995e20
1400,3.24140351283554e20
1400,5.925887367241618e20
1400,4.795883025959985e20
1400,9.58491568819046e20
1400,5.7611071661097275e20
1400,6.928099739153077e20
1400,5.761642910350358e20
1400,4.2899737629274204e20
1400,4.8772522811605497e20
1400,6.96516965699255e20
1400,6.993737250925467e20
1400,6.498407825919172e20
1400,4.3276927408760744e20
1400,5.601671705198606e20
1400,8.859995566781058e20
1400,6.526183375420464e20
1400,5.507831283978127e20
1400,5.7406457882346566e20
1400,4.380924583471891e20
1400,6.705803818797624e20
1400,6.480849750731408e20
1400,7.316664627573302e20
1400,8.499593734598032e20
1400,9.990968534042306e20
1400,8.492983749844632e20
1400,4.417939055285407e20
1400,2.970625135581648e20
1400,8.75423598116926e20
1400,5.328442240580199e20
1400,1.1776300620425822e21
1400,3.730215925270748e20
1400,6.724186160405727e20
1400,3.2523313908960795e20
1400,3.6709555201670814e20
1400,1.4241197861581389e21
1400,5.606212202471134e20
1400,6.942240371013161e20
1400,4.295069326086983e20
1400,3.2699962621624123e20
1400,5.91891003706803e20
1400,3.448907017671121e20
1400,6.154967956793271e20
1400,7.362618116578847e20
1400,5.923508871439732e20
1400,7.17491710891742e20
1400,7.371917519856742e20
1400,6.31230818287391e20
1400,5.089419581883616e20
1400,3.917298813936886e20
1400,4.8206139463344816e20
1400,7.697915222156981e20
1400,6.439652595577608e20
1400,5.560964580777791e20
1400,5.522199383229279e20
1400,6.592244037456792e20
1400,1.0162242781376749e21
1400,5.4789521997795564e20
1400,5.076926424896237e20
1400,5.714812547665188e20
1400,3.6910817542523585e20
1400,5.282468365405268e20
1400,8.954833853627061e20
1400,4.8948025892498847e20
1400,5.514779045448461e20
1400,4.063872173803933e20
1400,2.3247606820456258e20
1400,6.689831194177456e20
1400,6.677424266041759e20
1400,4.3211595175040995e20
1400,4.593114989215822e20
1400,4.4254083851199087e20
1400,3.037696266145049e20
1400,2.6612429890958167e20
1400,7.543876506295084e20
1400,6.500909067149509e20
1400,4.1067057658910265e20
1400,5.679772114820543e20
1400,4.720919564400304e20
1400,6.386838238056831e20
1400,9.192297485577227e20
1400,3.3574136088706856e20
1400,6.380086148636811e20
1400,6.181635587837434e20
1400,5.372663278429021e20
1400,3.53898733428415e20
1400,5.737551975509333e20
1400,6.573564693068848e20
1400,8.026740827359871e20
1400,6.157226770627777e20
1400,4.8901253330306105e20
1400,8.520161923093356e20
1400,6.399437725012515e20
1400,5.600462422782887e20
1400,5.82975392349987e20
1400,8.086667676197019e20
1400,7.515306889893364e20
1400,3.971910015485052e20
1400,8.419801390635583e20
1400,5.506566068674521e20
1400,3.843795196103006e20
1400,9.046476587456248e20
1400,6.297187185205694e20
1400,8.45965180587239e20
1400,3.207182045158593e20
1400,4.3194897510912164e20
1400,1.9607716586384753e20
1400,6.59526279701491e20
1400,6.508486097259035e20
1400,4.6639867482594234e20
1400,7.913495510814509e20
1400,7.353588670472061e20
1400,6.089535212992923e20
1400,6.78226281807765e20
1400,5.1693237691298205e20
1400,8.501087794043147e20
1400,5.39081576292558e20
1400,3.647388632318988e20
1400,7.092347737757677e20
1400,7.258499489086525e20
1400,4.937058615126286e20
1400,7.162177075655041e20
1400,8.690259047260427e20
1400,1.014249747448539e21
1400,4.366444156940294e20
1400,4.817711686239458e20
1400,5.2122768988592393e20
1400,3.9552999720596845e20
1400,6.691494589716228e20
1400,5.2619690583068934e20
1400,7.044940761038501e20
1400,3.5256166910096356e20
1400,1.0756076154625081e21
1400,6.92567832715837e20
1400,3.513552268454198e20
1400,6.286175903209138e20
1400,4.8276093201959086e20
1400,6.089445291057035e20
1400,2.8313429804412813e20
1400,4.730717407171555e20
1400,4.9120369446305255e20
1400,8.958144376940193e20
1400,7.281350467574006e20
1400,4.494082868050764e21
1400,6.105251965993815e20
1400,4.35460593708755e20
1400,4.1161754069600764e20
1400,8.170705010528603e20
1400,8.056279605651867e20
1400,1.064483303397494e21
1400,6.131908656518547e20
1400,3.48828843287102e20
1400,4.088514763127258e20
1400,6.360312530343082e20
1400,4.504833746239189e20
1400,4.021150968951551e20
1400,3.8790374070960305e20
1400,5.740921863192592e20
1400,4.653185113157032e20
1400,8.376015609669935e20
1400,9.947505966726081e20
1400,1.0113266979126382e21
1400,4.140105685227715e20
1400,4.1149860948899824e20
1400,2.7256604329247316e20
1400,8.925180832517114e20
1400,8.465670852956345e20
1400,6.691430495607182e20
1400,6.037961669920779e20
1400,4.8703197140744693e20
1400,4.487230775991079e20
1400,3.942844209455124e20
1400,7.057740496733401e20
1400,8.905851426993871e20
1400,7.118089582797808e20
1400,1.1265105857273275e21
1400,4.136790419721907e20
1400,2.303155082537784e20
1400,7.087557595408383e20
1400,9.86538829606853e20
1400,8.292440253174276e20
1400,4.415275922468257e20
1400,6.173182859150271e20
1400,5.4282916796102666e20
1400,2.961533177657766e20
1400,8.163584016996509e20
1400,2.1878142270635357e20
1400,6.220774152375152e20
1400,5.2864465228141645e20
1400,6.635030929426522e20
1400,6.824811782413058e20
1400,5.468481218941868e20
1400,9.648204006149628e20
1400,6.772861693249083e20
1400,3.607463853857169e20
1400,6.293308830151386e20
1400,1.1883121771392124e21
1400,3.858521613989663e20
1400,6.724767537219553e20
1400,7.535408959599219e20
1400,8.619474376013692e20
1400,6.376376136969085e20
1400,5.3047583845346437e20
1400,9.803686198258164e20
1400,1.2042278363671156e21
1400,7.15036874794849e20
1400,4.128215349902588e20
1400,7.067433642274676e20
1400,9.865583254415428e20
1400,7.869034509518411e21
1400,5.590315568888595e20
1400,4.103239298473464e20
1400,5.8669421363279417e20
1400,7.004185839785695e20
1400,6.252469163518161e20
