Esum,phi,bkg_counts
50.0,2.5,0.0
50.0,7.5,0.0
50.0,12.5,0.0
50.0,17.5,0.0
50.0,22.5,0.0
50.0,27.5,0.0
50.0,32.5,0.0
50.0,37.5,0.0
50.0,42.5,0.0
50.0,47.5,0.0
50.0,52.5,0.0
50.0,57.5,0.0
50.0,62.5,0.0
50.0,67.5,0.0
50.0,72.5,0.0
50.0,77.5,0.0
50.0,82.5,0.0
50.0,87.5,0.0
50.0,92.5,0.0
50.0,97.5,0.0
50.0,102.5,0.0
50.0,107.5,0.0
50.0,112.5,0.0
50.0,117.5,0.0
50.0,122.5,0.0
50.0,127.5,0.0
50.0,132.5,0.0
50.0,137.5,0.0
50.0,142.5,0.0
50.0,147.5,0.0
50.0,152.5,0.0
50.0,157.5,0.0
50.0,162.5,0.0
50.0,167.5,0.0
50.0,172.5,0.0
50.0,177.5,0.0
150.0,2.5,0.0
150.0,7.5,0.0
150.0,12.5,0.0
150.0,17.5,0.0
150.0,22.5,0.0
150.0,27.5,0.0
150.0,32.5,0.0
150.0,37.5,0.0
150.0,42.5,0.0
150.0,47.5,0.0
150.0,52.5,0.0
150.0,57.5,0.0
150.0,62.5,0.0
150.0,67.5,0.0
150.0,72.5,0.0
150.0,77.5,0.0
150.0,82.5,0.0
150.0,87.5,0.0
150.0,92.5,0.0
150.0,97.5,0.0
150.0,102.5,0.0
150.0,107.5,0.0
150.0,112.5,0.0
150.0,117.5,0.0
150.0,122.5,0.0
150.0,127.5,0.0
150.0,132.5,0.0
150.0,137.5,0.0
150.0,142.5,0.0
150.0,147.5,0.0
150.0,152.5,0.0
150.0,157.5,0.0
150.0,162.5,0.0
150.0,167.5,0.0
150.0,172.5,0.0
150.0,177.5,0.0
250.0,2.5,0.7374817177772824
250.0,7.5,1.63764322624073
250.0,12.5,3.427120923788548
250.0,17.5,6.821705889439862
250.0,22.5,9.446273179176663
250.0,27.5,13.57833986260526
250.0,32.5,17.005460786393808
250.0,37.5,19.94454233812386
250.0,42.5,22.395584517795417
250.0,47.5,23.013767722402843
250.0,52.5,24.41281392230386
250.0,57.5,24.098299660310612
250.0,62.5,24.022382424657067
250.0,67.5,23.81632135645459
250.0,72.5,22.62333622475605
250.0,77.5,20.92062108224085
250.0,82.5,19.79270786681677
250.0,87.5,18.751557206425314
250.0,92.5,18.30689911188313
250.0,97.5,17.764633142929245
250.0,102.5,17.460964200315072
250.0,107.5,18.523805499464682
250.0,112.5,19.207060620346578
250.0,117.5,20.953157040378084
250.0,122.5,20.139758086947257
250.0,127.5,21.376124496162113
250.0,132.5,21.86416386822061
250.0,137.5,21.99430770076954
250.0,142.5,22.081070255802164
250.0,147.5,20.671178736522062
250.0,152.5,18.838319761457935
250.0,157.5,16.09445395855128
250.0,162.5,13.01438325489322
250.0,167.5,9.92346723185608
250.0,172.5,6.127605449178891
250.0,177.5,2.0172294045084493
350.0,2.5,1.7244057812733518
350.0,7.5,6.192677365453357
350.0,12.5,13.795246250186814
350.0,17.5,23.599414968873038
350.0,22.5,35.30151457889786
350.0,27.5,51.0272276785605
350.0,32.5,64.18260008538174
350.0,37.5,74.47480817612644
350.0,42.5,83.49811389951908
350.0,47.5,88.00976676121539
350.0,52.5,90.60179809281496
350.0,57.5,91.08983746487345
350.0,62.5,87.814551012392
350.0,67.5,85.60210585906015
350.0,72.5,80.04930233697239
350.0,77.5,77.27290057592849
350.0,82.5,72.92392750491834
350.0,87.5,70.31020553456062
350.0,92.5,70.40781340897232
350.0,97.5,68.98707657031315
350.0,102.5,68.53157315639189
350.0,107.5,72.70702111733678
350.0,112.5,73.97592348468888
350.0,117.5,79.99507574007698
350.0,122.5,82.0773770608599
350.0,127.5,89.0292267828487
350.0,132.5,86.66494715820976
350.0,137.5,87.33735695971258
350.0,142.5,86.1118358698768
350.0,147.5,81.18806087177553
350.0,152.5,73.68309986145378
350.0,157.5,66.57941566815789
350.0,162.5,53.80362943960438
350.0,167.5,40.312052132031745
350.0,172.5,25.32382075014639
350.0,177.5,8.589492948229525
450.0,2.5,2.7113298447694207
450.0,7.5,10.942927253489383
450.0,12.5,23.425889858807796
450.0,17.5,41.61349045752107
450.0,22.5,64.779092651231
450.0,27.5,89.87516169441676
450.0,32.5,114.22290370044615
450.0,37.5,134.69886668814482
450.0,42.5,150.08837488705606
450.0,47.5,158.61279591901112
450.0,52.5,161.86639173273443
450.0,57.5,164.6970200906737
450.0,62.5,160.21790318711462
450.0,67.5,155.00130456577824
450.0,72.5,149.92569509636988
450.0,77.5,142.3881981279109
450.0,82.5,135.17606074082423
450.0,87.5,134.2650539129817
450.0,92.5,130.1004512714159
450.0,97.5,130.85962362795132
450.0,102.5,134.83985584007283
450.0,107.5,141.69409768764993
450.0,112.5,147.70240462365896
450.0,117.5,156.11837246182327
450.0,122.5,163.16783005822376
450.0,127.5,170.94392405302244
450.0,132.5,173.96976815978513
450.0,137.5,174.41442625432728
450.0,142.5,168.74232421906967
450.0,147.5,163.53657091711239
450.0,152.5,147.6373327073845
450.0,157.5,129.54733998308294
450.0,162.5,109.32081934110306
450.0,167.5,78.67194677582951
450.0,172.5,50.04030361506443
450.0,177.5,17.471809519694148
550.0,2.5,3.665717950128257
550.0,7.5,13.838627527703125
550.0,12.5,32.08045472331179
550.0,17.5,59.94208020816235
550.0,22.5,97.48857589852929
550.0,27.5,135.51226564157565
550.0,32.5,176.38827438131943
550.0,37.5,208.0566069682263
550.0,42.5,227.6866350443569
550.0,47.5,242.28443492859543
550.0,52.5,247.63117738248076
550.0,57.5,252.21874747983063
550.0,62.5,245.11506328653473
550.0,67.5,236.49303438016796
550.0,72.5,228.19636505517354
550.0,77.5,218.80431847289225
550.0,82.5,212.16698301289674
550.0,87.5,206.34304650633197
550.0,92.5,205.59471946917563
550.0,97.5,207.17813609852098
550.0,102.5,212.65502238495523
550.0,107.5,222.53510833929496
550.0,112.5,235.46272903915556
550.0,117.5,249.96292104898245
550.0,122.5,261.66502065900727
550.0,127.5,271.8487755559612
550.0,132.5,280.19967147785104
550.0,137.5,281.4360378870659
550.0,142.5,272.69471046752926
550.0,147.5,260.69978723426937
550.0,152.5,237.28474269484062
550.0,157.5,208.16506016201703
550.0,162.5,171.18252107936215
550.0,167.5,129.1243725272989
550.0,172.5,79.85408658814897
550.0,177.5,26.863856101975422
650.0,2.5,4.218829238461218
650.0,7.5,17.54772675534769
650.0,12.5,42.27505493964481
650.0,17.5,77.58741483792174
650.0,22.5,125.77316883916389
650.0,27.5,176.9847669471687
650.0,32.5,230.31120233409368
650.0,37.5,275.0481447727891
650.0,42.5,302.9097702576397
650.0,47.5,322.2469747105352
650.0,52.5,333.7213226135994
650.0,57.5,333.1356753671292
650.0,62.5,328.53725995040026
650.0,67.5,321.2817412857973
650.0,72.5,310.6641736136802
650.0,77.5,304.74262923270385
650.0,82.5,291.9126164072549
650.0,87.5,288.21436249898943
650.0,92.5,284.4510366744495
650.0,97.5,289.6459446570277
650.0,102.5,303.07245004832583
650.0,107.5,313.87438814988724
650.0,112.5,331.9535355548097
650.0,117.5,353.27543345407645
650.0,122.5,368.8601574018111
650.0,127.5,385.99576202075383
650.0,132.5,394.2707407069901
650.0,137.5,391.0279902126458
650.0,142.5,388.0997539802949
650.0,147.5,364.3701951788729
650.0,152.5,332.20297790052854
650.0,157.5,286.7936256603303
650.0,162.5,239.009148476114
650.0,167.5,180.45526914847358
650.0,172.5,109.71125083874985
650.0,177.5,37.7634020779485
750.0,2.5,4.978001594996656
750.0,7.5,19.716790631163228
750.0,12.5,48.66294805392157
750.0,17.5,94.38681455611308
750.0,22.5,153.53718644960276
750.0,27.5,217.1016033303771
750.0,32.5,279.1585208174596
750.0,37.5,331.89930895791434
750.0,42.5,368.17690228092914
750.0,47.5,392.5029536482004
750.0,52.5,406.6018688410014
750.0,57.5,411.22197489648846
750.0,62.5,405.7450886100543
750.0,67.5,400.3549648786527
750.0,72.5,381.77693278229265
750.0,77.5,377.21105332370087
750.0,82.5,366.0837556407672
750.0,87.5,358.4486507978965
