Esum,phi,eff
50.0,2.5,0.0
50.0,7.5,0.0
50.0,12.5,0.0
50.0,17.5,0.0
50.0,22.5,0.0
50.0,27.5,0.0
50.0,32.5,0.0
50.0,37.5,0.0
50.0,42.5,0.0
50.0,47.5,0.0
50.0,52.5,0.0
50.0,57.5,0.0
50.0,62.5,0.0
50.0,67.5,0.0
50.0,72.5,0.0
50.0,77.5,0.0
50.0,82.5,0.0
50.0,87.5,0.0
50.0,92.5,0.0
50.0,97.5,0.0
50.0,102.5,0.0
50.0,107.5,0.0
50.0,112.5,0.0
50.0,117.5,0.0
50.0,122.5,0.0
50.0,127.5,0.0
50.0,132.5,0.0
50.0,137.5,0.0
50.0,142.5,0.0
50.0,147.5,0.0
50.0,152.5,0.0
50.0,157.5,0.0
50.0,162.5,0.0
50.0,167.5,0.0
50.0,172.5,0.0
50.0,177.5,0.0
150.0,2.5,0.0
150.0,7.5,0.0
150.0,12.5,0.0
150.0,17.5,0.0
150.0,22.5,0.0
150.0,27.5,0.0
150.0,32.5,0.0
150.0,37.5,0.0
150.0,42.5,0.0
150.0,47.5,0.0
150.0,52.5,0.0
150.0,57.5,0.0
150.0,62.5,0.0
150.0,67.5,0.0
150.0,72.5,0.0
150.0,77.5,0.0
150.0,82.5,0.0
150.0,87.5,0.0
150.0,92.5,0.0
150.0,97.5,0.0
150.0,102.5,0.0
150.0,107.5,0.0
150.0,112.5,0.0
150.0,117.5,0.0
150.0,122.5,0.0
150.0,127.5,0.0
150.0,132.5,0.0
150.0,137.5,0.0
150.0,142.5,0.0
150.0,147.5,0.0
150.0,152.5,0.0
150.0,157.5,0.0
150.0,162.5,0.0
150.0,167.5,0.0
150.0,172.5,0.0
150.0,177.5,0.0
250.0,2.5,0.0
250.0,7.5,1.0000000000000001e-7
250.0,12.5,1.0000000000000001e-7
250.0,17.5,1.0000000000000001e-7
250.0,22.5,1.0000000000000001e-7
250.0,27.5,3.0000000000000004e-7
250.0,32.5,0.0
250.0,37.5,0.0
250.0,42.5,4.0000000000000003e-7
250.0,47.5,5.0e-7
250.0,52.5,2.0000000000000002e-7
250.0,57.5,2.0000000000000002e-7
250.0,62.5,1.0000000000000001e-7
250.0,67.5,4.0000000000000003e-7
250.0,72.5,3.0000000000000004e-7
250.0,77.5,3.0000000000000004e-7
250.0,82.5,6.000000000000001e-7
250.0,87.5,1.0000000000000001e-7
250.0,92.5,4.0000000000000003e-7
250.0,97.5,5.0e-7
250.0,102.5,4.0000000000000003e-7
250.0,107.5,6.000000000000001e-7
250.0,112.5,5.0e-7
250.0,117.5,5.0e-7
250.0,122.5,6.000000000000001e-7
250.0,127.5,3.0000000000000004e-7
250.0,132.5,3.0000000000000004e-7
250.0,137.5,1.0000000000000001e-7
250.0,142.5,1.0000000000000001e-7
250.0,147.5,2.0000000000000002e-7
250.0,152.5,4.0000000000000003e-7
250.0,157.5,4.0000000000000003e-7
250.0,162.5,3.0000000000000004e-7
250.0,167.5,1.0000000000000001e-7
250.0,172.5,1.0000000000000001e-7
250.0,177.5,2.0000000000000002e-7
350.0,2.5,0.0
350.0,7.5,1.0000000000000001e-7
350.0,12.5,0.0
350.0,17.5,0.0
350.0,22.5,0.0
350.0,27.5,4.0000000000000003e-7
350.0,32.5,1.0e-6
350.0,37.5,1.1e-6
350.0,42.5,5.0e-7
350.0,47.5,1.3e-6
350.0,52.5,5.0e-7
350.0,57.5,7.000000000000001e-7
350.0,62.5,8.000000000000001e-7
350.0,67.5,1.4000000000000001e-6
350.0,72.5,1.1e-6
350.0,77.5,1.5000000000000002e-6
350.0,82.5,1.1e-6
350.0,87.5,1.6000000000000001e-6
350.0,92.5,1.2000000000000002e-6
350.0,97.5,8.000000000000001e-7
350.0,102.5,1.6000000000000001e-6
350.0,107.5,1.2000000000000002e-6
350.0,112.5,1.8000000000000001e-6
350.0,117.5,1.1e-6
350.0,122.5,1.5000000000000002e-6
350.0,127.5,1.0e-6
350.0,132.5,1.8000000000000001e-6
350.0,137.5,5.0e-7
350.0,142.5,5.0e-7
350.0,147.5,9.000000000000001e-7
350.0,152.5,9.000000000000001e-7
350.0,157.5,9.000000000000001e-7
350.0,162.5,5.0e-7
350.0,167.5,4.0000000000000003e-7
350.0,172.5,3.0000000000000004e-7
350.0,177.5,2.0000000000000002e-7
450.0,2.5,0.0
450.0,7.5,2.0000000000000002e-7
450.0,12.5,0.0
450.0,17.5,2.0000000000000002e-7
450.0,22.5,1.0e-6
450.0,27.5,7.000000000000001e-7
450.0,32.5,8.000000000000001e-7
450.0,37.5,1.5000000000000002e-6
450.0,42.5,1.7e-6
450.0,47.5,1.2000000000000002e-6
450.0,52.5,1.2000000000000002e-6
450.0,57.5,1.4000000000000001e-6
450.0,62.5,1.9000000000000002e-6
450.0,67.5,2.0e-6
450.0,72.5,1.6000000000000001e-6
450.0,77.5,2.3e-6
450.0,82.5,2.3e-6
450.0,87.5,1.7e-6
450.0,92.5,2.2e-6
450.0,97.5,2.4000000000000003e-6
450.0,102.5,2.3e-6
450.0,107.5,2.5e-6
450.0,112.5,1.9000000000000002e-6
450.0,117.5,2.5e-6
450.0,122.5,2.5e-6
450.0,127.5,2.5e-6
450.0,132.5,1.4000000000000001e-6
450.0,137.5,1.9000000000000002e-6
450.0,142.5,2.2e-6
450.0,147.5,1.8000000000000001e-6
450.0,152.5,1.2000000000000002e-6
450.0,157.5,1.8000000000000001e-6
450.0,162.5,1.2000000000000002e-6
450.0,167.5,7.000000000000001e-7
450.0,172.5,1.0000000000000001e-7
450.0,177.5,2.0000000000000002e-7
550.0,2.5,1.0000000000000001e-7
550.0,7.5,3.0000000000000004e-7
550.0,12.5,2.0000000000000002e-7
550.0,17.5,4.0000000000000003e-7
550.0,22.5,1.1e-6
550.0,27.5,1.2000000000000002e-6
550.0,32.5,2.1000000000000002e-6
550.0,37.5,1.9000000000000002e-6
550.0,42.5,1.9000000000000002e-6
550.0,47.5,2.3e-6
550.0,52.5,3.3000000000000006e-6
550.0,57.5,2.7e-6
550.0,62.5,1.9000000000000002e-6
550.0,67.5,3.7e-6
550.0,72.5,3.7e-6
550.0,77.5,2.9e-6
550.0,82.5,3.1e-6
550.0,87.5,2.5e-6
550.0,92.5,3.2000000000000003e-6
550.0,97.5,3.1e-6
550.0,102.5,4.1000000000000006e-6
550.0,107.5,4.800000000000001e-6
550.0,112.5,4.1000000000000006e-6
550.0,117.5,4.3e-6
550.0,122.5,2.9e-6
550.0,127.5,4.0e-6
550.0,132.5,2.9e-6
550.0,137.5,3.0000000000000005e-6
550.0,142.5,2.9e-6
550.0,147.5,2.3e-6
550.0,152.5,2.1000000000000002e-6
550.0,157.5,2.4000000000000003e-6
550.0,162.5,1.9000000000000002e-6
550.0,167.5,1.5000000000000002e-6
550.0,172.5,1.2000000000000002e-6
550.0,177.5,3.0000000000000004e-7
650.0,2.5,1.0000000000000001e-7
650.0,7.5,3.0000000000000004e-7
650.0,12.5,5.0e-7
650.0,17.5,3.0000000000000004e-7
650.0,22.5,9.000000000000001e-7
650.0,27.5,1.3e-6
650.0,32.5,2.6e-6
650.0,37.5,2.4000000000000003e-6
650.0,42.5,2.5e-6
650.0,47.5,3.8000000000000005e-6
650.0,52.5,2.9e-6
650.0,57.5,4.700000000000001e-6
650.0,62.5,4.4e-6
650.0,67.5,4.9000000000000005e-6
650.0,72.5,4.6e-6
650.0,77.5,4.2000000000000004e-6
650.0,82.5,4.3e-6
650.0,87.5,4.9000000000000005e-6
650.0,92.5,5.5e-6
650.0,97.5,4.500000000000001e-6
650.0,102.5,4.6e-6
650.0,107.5,6.5000000000000004e-6
650.0,112.5,4.9000000000000005e-6
650.0,117.5,5.0e-6
650.0,122.5,5.0e-6
650.0,127.5,6.699999999999999e-6
650.0,132.5,4.500000000000001e-6
650.0,137.5,4.800000000000001e-6
650.0,142.5,4.6e-6
650.0,147.5,4.700000000000001e-6
650.0,152.5,3.5000000000000004e-6
650.0,157.5,2.9e-6
650.0,162.5,1.9000000000000002e-6
650.0,167.5,1.7e-6
