tHalf,eff,best_roi
1.4461807336267117e22,0.1203945,"(phi = (0.0, 180.0), sumE = (407.8365029359579, 2714.8441384724515), r = (0.0, 200.0), singleE = (0.0, 2668.654811231575), dy = (0.0, 200.0), dz = (0.0, 200.0), lPint = (0.0, 1.8124429891194724), lPext = (0.0, 50.0), trackLength1 = (0.0, 3000.0), trackLength2 = (0.0, 3000.0))"


tHalf: 1.5208203460103364e22
signalEff: 0.1245681
bkg count: 196603.1879756776
best ROI:
  phi : (0.0, 180.0)
  sumE : (400, 2700)
  r : (0.0, 200.0)
  singleE : (0.0, 2700)
  dy : (0.0, 200.0)
  dz : (0.0, 200.0)
  lPint : (0.0, 3)
  lPext : (1.0, 50.0)
  trackLength1 : (0.0, 3000.0)
  trackLength2 : (0.0, 3000.0)
