tHalf,eff,best_roi
4.431151108881435e24,0.1782782,"(phi = (19.235663321261477, 180.0), sumE = (2717.1794179189947, 2994.3630613136766), r = (0.0, 200.0), singleE = (0.0, 2661.0697715826327), dy = (0.0, 101.92135593940317), dz = (0.0, 111.77906410064077), lPint = (0.0, 3.1697095269272597), lPext = (0.0, 50.0), trackLength1 = (0.0, 3000.0), trackLength2 = (0.0, 3000.0))"

tHalf: 4.5340819124704986e24
signalEff: 0.1898564
bkg count: 1.6568117043748427
best ROI:
  phi : (15, 180.0)
  sumE : (2700, 3000)
  r : (0.0, 200.0)
  singleE : (0.0, 2650)
  dy : (0.0, 100)
  dz : (0.0, 100)
  lPint : (0.0, 4.0)
  lPext : (2.0, 50.0)
  trackLength1 : (0.0, 3000.0)
  trackLength2 : (0.0, 3000.0)
