id	signal	tHalf
1	sterile0600_foil_bulk	1.3170571367272642e22
2	sterile0800_foil_bulk	1.1314620014395457e22
3	sterile0900_foil_bulk	1.0318495539088396e22
4	sterile1000_foil_bulk	9.215461944089262e21
5	sterile1100_foil_bulk	8.167204678583133e21
6	sterile1200_foil_bulk	7.045581860809971e21
7	sterile1400_foil_bulk	4.961023789940559e21
8	sterile1500_foil_bulk	3.980077731841228e21
9	sterile0500_foil_bulk	1.409685856090506e22
10	sterile0500_foil_bulk	1.4053903654380827e22
11	sterile0500_foil_bulk	1.4094152139480813e22
12	sterile0500_foil_bulk	1.40980292616615e22
13	sterile0600_foil_bulk	1.3168311704881298e22
14	sterile0600_foil_bulk	1.3160856353664506e22
15	sterile0600_foil_bulk	1.316063774638491e22
16	sterile0600_foil_bulk	1.3173436106221405e22
17	sterile0700_foil_bulk	1.2346354606395946e22
18	sterile0700_foil_bulk	1.2341877088363487e22
19	sterile0700_foil_bulk	1.235071515554051e22
20	sterile0700_foil_bulk	1.235019810307106e22
21	sterile0800_foil_bulk	1.1319553462143577e22
22	sterile0800_foil_bulk	1.1309149592515571e22
23	sterile0800_foil_bulk	1.131895520360524e22
24	sterile0800_foil_bulk	1.132669423516164e22
25	sterile0900_foil_bulk	1.029152839486343e22
26	sterile0900_foil_bulk	1.0315725759260626e22
27	sterile0900_foil_bulk	1.0316176728466683e22
28	sterile0900_foil_bulk	1.0317306086514928e22
29	sterile1000_foil_bulk	9.224944005087773e21
30	sterile1000_foil_bulk	9.214847094068806e21
31	sterile1000_foil_bulk	9.224224610381368e21
32	sterile1000_foil_bulk	9.217479218416067e21
33	sterile1100_foil_bulk	8.179269472427468e21
34	sterile1100_foil_bulk	8.151935391766494e21
35	sterile1100_foil_bulk	8.177724865580882e21
36	sterile1100_foil_bulk	8.178510748789976e21
37	sterile1200_foil_bulk	7.045765410456978e21
38	sterile1200_foil_bulk	7.008107589950632e21
39	sterile1200_foil_bulk	7.010718302830071e21
40	sterile1200_foil_bulk	7.00615968231022e21
41	sterile1300_foil_bulk	5.959559686997404e21
42	sterile1300_foil_bulk	5.965671144924395e21
43	sterile1300_foil_bulk	5.940252244940895e21
44	sterile1300_foil_bulk	5.969848879270155e21
45	sterile1400_foil_bulk	4.959645902504655e21
46	sterile1400_foil_bulk	4.957879862692704e21
47	sterile1400_foil_bulk	4.963923382759394e21
48	sterile1400_foil_bulk	4.934100683756395e21
49	sterile1500_foil_bulk	3.978962261630619e21
50	sterile1500_foil_bulk	3.9374362763244114e21
51	sterile1500_foil_bulk	3.975779871840839e21
52	sterile1500_foil_bulk	3.9592381549257467e21
