b, S
0, 2.44
0.1, 2.53025
0.2, 2.61718
0.3, 2.70101
0.4, 2.78197
0.5, 2.8602
0.6, 2.93589
0.7, 3.03395
0.8, 3.12048
0.9, 3.20164
1, 3.27795
1.1, 3.35327
1.2, 3.42473
1.3, 3.49529
1.4, 3.56303
1.5, 3.62645
1.6, 3.68999
1.7, 3.75346
1.8, 3.81744
1.9, 3.88185
2, 3.93961
2.1, 3.99651
2.2, 4.05016
2.3, 4.10354
2.4, 4.15652
2.5, 4.20142
2.6, 4.24846
2.7, 4.28959
2.8, 4.33494
2.9, 4.3802
3, 4.42359
3.1, 4.46529
3.2, 4.50884
3.3, 4.54979
3.4, 4.59127
3.5, 4.63246
3.6, 4.67017
3.7, 4.70836
3.8, 4.74808
3.9, 4.78604
4, 4.82699
4.1, 4.86777
4.2, 4.90565
4.3, 4.94545
4.4, 4.98194
4.5, 5.01678
4.6, 5.05262
4.7, 5.08519
4.8, 5.11817
4.9, 5.14826
5, 5.18095
5.1, 5.21668
5.2, 5.25148
5.3, 5.28643
5.4, 5.3256
5.5, 5.36064
5.6, 5.39732
5.7, 5.43429
5.8, 5.46937
5.9, 5.5039
6, 5.53738
6.1, 5.57128
6.2, 5.60412
6.3, 5.64189
6.4, 5.6828
6.5, 5.72025
6.6, 5.76097
6.7, 5.79819
6.8, 5.83732
6.9, 5.86974
7, 5.90252
7.1, 5.93388
7.2, 5.96484
7.3, 5.99337
7.4, 6.02271
7.5, 6.04964
7.6, 6.07868
7.7, 6.10578
7.8, 6.13272
7.9, 6.16239
8, 6.1897
8.1, 6.21773
8.2, 6.24644
8.3, 6.27387
8.4, 6.30482
8.5, 6.3391
8.6, 6.37352
8.7, 6.40668
8.8, 6.43826
8.9, 6.4695
9, 6.49909
9.1, 6.52564
9.2, 6.55013
9.3, 6.57518
9.4, 6.60033
9.5, 6.62414
9.6, 6.64869
9.7, 6.67366
9.8, 6.69904
9.9, 6.72937
10, 6.7593
10.1, 6.79049
10.2, 6.82005
10.3, 6.84966
10.4, 6.87929
10.5, 6.90509
10.6, 6.93169
10.7, 6.95444
10.8, 6.97817
10.9, 7.00117
11, 7.02295
11.1, 7.04526
11.2, 7.0753
11.3, 7.10783
11.4, 7.13692
11.5, 7.16684
11.6, 7.19535
11.7, 7.21686
11.8, 7.23943
11.9, 7.26149
12, 7.28274
12.1, 7.30384
12.2, 7.32688
12.3, 7.35185
12.4, 7.37836
12.5, 7.40391
12.6, 7.42914
12.7, 7.45132
12.8, 7.47486
12.9, 7.49743
